,,,,,,,,,
,法人名,区分,参照サイト,備考,,,,,
,コンテンツシード,メーカー,https://www.kotobukiya.co.jp/event/,,,,,,
,A3,メーカー,https://athree3.com/news/,,,,,,
,シーズナルプランツ,メーカー,http://www.seasonal-plants.co.jp/home/,,,,,,
,メディコスエンタテインメント,メーカー,https://www.medicos-e.net/event/,,,,,,
,カナリア,メーカー,,,,,,,
,ベルハウス,メーカー,,,,,,,
,KADOKAWA,メーカー,https://www.kadokawa.co.jp/category/event/,,,,,,
,ベルファイン,メーカー,https://bellfine.co.jp/info/event-info/,,,,,,
,イーディス,メーカー,https://edith.co.jp/works/?ct=cat3,,,,,,
,ゲーマーズ,販売店,https://www.gamers.co.jp/contents/event_fair/list.php?lmode=fair&category=3,,,,,,
,アニメイト,販売店,https://www.animate.co.jp/onlyshop/,,,,,,
,あみあみ,販売店,https://realstore.amiami.jp/event/,,,,,,
,ボークス,販売店,https://www.volks.co.jp/blog_sr/akiba2/,,,,,,
,メロンブックス,販売店,https://www.melonbooks.co.jp/search/search.php?mode=search&search_disp=&category_id=0&text_type=&name=POPUP,商品ページからPopUpのページに遷移して取得する必要あり,,,,,
,コトブキヤ,販売店,https://www.kotobukiya.co.jp/event/,,,,,,
,ムービック,メーカー,https://www.movic.jp/shop/pages/fair.aspx,,,,,,
,中外鉱業,メーカー,https://www.chugai-contents.jp/html/page5.html,,,,,,
,MAGNET by SHIBUYA109,販売店,https://magnetbyshibuya109.jp/shopnews/,,,,,,
,タワーレコード,販売店,https://tower.jp/towerspace,,,,,,
,タワーレコード,販売店,https://tower.jp/genre/Accessories/animegoods,,,,,,
,ドン・キホーテ,販売店,https://www.donki.com/products/contents/,,,,,,
,マルイ,販売店,https://www.0101.co.jp/405/,,,,,,
,アトレキャラクターショップ,販売店,https://www.atre.co.jp/akihabara/news/,,,,,,
,アイマス全部,公式,https://idolmaster-official.jp/collab-campaign,,,,,,
,ラブライブ！全部,公式,https://www.lovelive-anime.jp/uranohoshi/goods.php?,,,,,,
,コラボカフェ,総合,https://collabo-cafe.com/events/category/pop-up-store/,,,,,,
